difficulty,title,url,solution_url
1, Déjà Vu,https://codeforces.com//problemset/problem/1504/A,
0,"""Is the bit string balanced?"" oracle",https://codeforces.com//problemset/problem/1357/B1,
0,"""Is the number divisible by 3?"" oracle",https://codeforces.com//problemset/problem/1357/B2,
10,"""Or"" Game",https://codeforces.com//problemset/problem/578/B,
0,#define Задача B ...,https://codeforces.com//problemset/problem/1275/C,
16,(Zero XOR Subset)-less,https://codeforces.com//problemset/problem/1101/G,
0,...And after happily lived ever they,https://codeforces.com//problemset/problem/1331/C,
26,...Dary!,https://codeforces.com//problemset/problem/696/F,
23,...Wait for it...,https://codeforces.com//problemset/problem/696/E,
12,0-1 MST,https://codeforces.com//problemset/problem/1242/B,
15,0-1-Tree,https://codeforces.com//problemset/problem/1156/D,
12,000001,https://codeforces.com//problemset/problem/409/F,
2,01 Game,https://codeforces.com//problemset/problem/1373/B,
23,1 2 3 4 ...,https://codeforces.com//problemset/problem/1474/F,
11,1-2-3,https://codeforces.com//problemset/problem/863/C,
10,1-2-K Game,https://codeforces.com//problemset/problem/1194/D,
13,1-Trees and Queries,https://codeforces.com//problemset/problem/1304/E,
2,123-sequence,https://codeforces.com//problemset/problem/52/A,
8,13th Labour of Heracles,https://codeforces.com//problemset/problem/1466/D,
12,1D Sokoban,https://codeforces.com//problemset/problem/1494/C,
17,2 + 2 != 4,https://codeforces.com//problemset/problem/952/F,
12,2+ doors,https://codeforces.com//problemset/problem/1715/D,
1,2-3 Moves,https://codeforces.com//problemset/problem/1716/A,
6,2-3-numbers,https://codeforces.com//problemset/problem/926/A,
24,2-Coloring,https://codeforces.com//problemset/problem/1503/E,
5,2-Letter Strings,https://codeforces.com//problemset/problem/1669/E,
13,2048,https://codeforces.com//problemset/problem/413/D,
3,2048 Game,https://codeforces.com//problemset/problem/1221/A,
8,24 Game,https://codeforces.com//problemset/problem/468/A,
5,2Char,https://codeforces.com//problemset/problem/593/A,
7,2^Sort,https://codeforces.com//problemset/problem/1692/G,
10,3-Coloring,https://codeforces.com//problemset/problem/1503/B,
12,3-cycles,https://codeforces.com//problemset/problem/41/E,
3,3-palindrome,https://codeforces.com//problemset/problem/805/B,
9,388535 (Easy Version),https://codeforces.com//problemset/problem/1658/D1,
16,388535 (Hard Version),https://codeforces.com//problemset/problem/1658/D2,
6,3SUM,https://codeforces.com//problemset/problem/1692/F,
6,3SUM Closure,https://codeforces.com//problemset/problem/1698/C,
11,4-point polyline,https://codeforces.com//problemset/problem/452/B,
13,505,https://codeforces.com//problemset/problem/1391/D,
20,5G Antenna Towers,https://codeforces.com//problemset/problem/1423/E,
15,80-th Level Archeology,https://codeforces.com//problemset/problem/731/D,
9,A + B,https://codeforces.com//problemset/problem/153/A,
8,A + B Strikes Back,https://codeforces.com//problemset/problem/409/H,
6,A + Reverse B,https://codeforces.com//problemset/problem/188/B,
18,A Battle Against a Dragon,https://codeforces.com//problemset/problem/1571/G,
17,A Bit Similar,https://codeforces.com//problemset/problem/1469/E,
2,A Blend of Springtime,https://codeforces.com//problemset/problem/989/A,
26,A Certain Magical Party,https://codeforces.com//problemset/problem/1726/G,
20,A Colourful Prospect,https://codeforces.com//problemset/problem/933/C,
7,A Compatible Pair,https://codeforces.com//problemset/problem/934/A,
28,A Convex Game,https://codeforces.com//problemset/problem/1434/E,
6,A Cookie for You,https://codeforces.com//problemset/problem/1371/C,
22,A Creative Cutout,https://codeforces.com//problemset/problem/933/D,
13,A Determined Cleanup,https://codeforces.com//problemset/problem/933/B,
19,A Game With Numbers,https://codeforces.com//problemset/problem/919/F,
25,A Game on Strings,https://codeforces.com//problemset/problem/1037/G,
12,A Game with Traps,https://codeforces.com//problemset/problem/1260/D,
1,A Good Contest,https://codeforces.com//problemset/problem/681/A,
15,A Heap of Heaps,https://codeforces.com//problemset/problem/538/F,
10,A Leapfrog in the Array,https://codeforces.com//problemset/problem/949/B,
12,A Lot of Games,https://codeforces.com//problemset/problem/455/B,
12,A Map of the Cat,https://codeforces.com//problemset/problem/952/B,
11,A Mist of Florescence,https://codeforces.com//problemset/problem/989/C,
21,A Museum Robbery,https://codeforces.com//problemset/problem/601/E,
26,A New Beginning,https://codeforces.com//problemset/problem/1534/G,
4,A New Technique,https://codeforces.com//problemset/problem/1413/B,
25,A Perfect Problem,https://codeforces.com//problemset/problem/1603/E,
4,A Perfectly Balanced String?,https://codeforces.com//problemset/problem/1673/B,
13,A Piece of Cake,https://codeforces.com//problemset/problem/171/C,
6,A Prank,https://codeforces.com//problemset/problem/1062/A,
25,A Preponderant Reunion,https://codeforces.com//problemset/problem/933/E,
10,A Problem about Polyline,https://codeforces.com//problemset/problem/578/A,
5,A Prosperous Lot,https://codeforces.com//problemset/problem/934/B,
21,A Random Code Problem,https://codeforces.com//problemset/problem/1626/F,
2,A Serial Killer,https://codeforces.com//problemset/problem/776/A,
23,A Serious Referee,https://codeforces.com//problemset/problem/1552/G,
18,A Shade of Moonlight,https://codeforces.com//problemset/problem/989/D,
15,A Simple Task,https://codeforces.com//problemset/problem/11/D,
16,A Simple Task,https://codeforces.com//problemset/problem/558/E,
18,A Story of One Country (Easy),https://codeforces.com//problemset/problem/1181/E1,
23,A Story of One Country (Hard),https://codeforces.com//problemset/problem/1181/E2,
23,A Stroll Around the Matrix,https://codeforces.com//problemset/problem/1609/G,
6,A Student's Dream,https://codeforces.com//problemset/problem/62/A,
8,A Tale of Two Lands,https://codeforces.com//problemset/problem/1166/C,
5,A Tide of Riverscape,https://codeforces.com//problemset/problem/989/B,
20,A Trance of Nightfall,https://codeforces.com//problemset/problem/989/E,
6,A Trivial Problem,https://codeforces.com//problemset/problem/633/B,
11,A Twisty Movement,https://codeforces.com//problemset/problem/933/A,
1,A Variety of Operations,https://codeforces.com//problemset/problem/1556/A,
10,A Vital Problem,https://codeforces.com//problemset/problem/926/I,
11,"A Wide, Wide Graph",https://codeforces.com//problemset/problem/1805/D,
8,A and B,https://codeforces.com//problemset/problem/1278/B,
2,A and B and Chess,https://codeforces.com//problemset/problem/519/A,
4,A and B and Compilation Errors,https://codeforces.com//problemset/problem/519/B,
11,A and B and Interesting Substrings,https://codeforces.com//problemset/problem/519/D,
14,A and B and Lecture Rooms,https://codeforces.com//problemset/problem/519/E,
6,A and B and Team Training,https://codeforces.com//problemset/problem/519/C,
1,A pile of stones,https://codeforces.com//problemset/problem/1159/A,
10,A polyline,https://codeforces.com//problemset/problem/171/H,
12,A rectangle,https://codeforces.com//problemset/problem/630/E,
27,A task for substrings,https://codeforces.com//problemset/problem/1801/G,
7,A+B,https://codeforces.com//problemset/problem/100/C,
0,A+B (Trial Problem),https://codeforces.com//problemset/problem/1532/A,
1,A+B (Trial Problem),https://codeforces.com//problemset/problem/1351/A,
1,A+B?,https://codeforces.com//problemset/problem/1772/A,
5,A-B Palindrome,https://codeforces.com//problemset/problem/1512/C,
5,A-B-C Sort,https://codeforces.com//problemset/problem/1674/D,
17,A-Z Graph,https://codeforces.com//problemset/problem/1494/E,
1,A-characteristic,https://codeforces.com//problemset/problem/1823/A,
1,A.M. Deviation,https://codeforces.com//problemset/problem/1605/A,
12,A/B Matrix,https://codeforces.com//problemset/problem/1360/G,
2,AB Balance,https://codeforces.com//problemset/problem/1606/A,
13,AB Graph,https://codeforces.com//problemset/problem/1481/D,
24,AB Tree,https://codeforces.com//problemset/problem/1481/F,
21,AB-Strings,https://codeforces.com//problemset/problem/1012/D,
12,AB-string,https://codeforces.com//problemset/problem/1238/D,
4,ABBB,https://codeforces.com//problemset/problem/1428/C,
1,ABC,https://codeforces.com//problemset/problem/1632/A,
2,ABC String,https://codeforces.com//problemset/problem/1494/A,
3,ACM ICPC,https://codeforces.com//problemset/problem/886/A,
8,AGAGA XOOORRR,https://codeforces.com//problemset/problem/1516/B,
0,AI Takeover,https://codeforces.com//problemset/problem/1145/G,
15,AI robots,https://codeforces.com//problemset/problem/1045/G,
25,ALT,https://codeforces.com//problemset/problem/786/E,
5,"AND 0, Sum Big",https://codeforces.com//problemset/problem/1514/B,
18,AND Graph,https://codeforces.com//problemset/problem/986/C,
18,AND Segments,https://codeforces.com//problemset/problem/1327/F,
7,AND Sequences,https://codeforces.com//problemset/problem/1513/B,
4,AND Sorting,https://codeforces.com//problemset/problem/1682/B,
4,AND oracle,https://codeforces.com//problemset/problem/1115/G1,
10,"AND, OR and square sum",https://codeforces.com//problemset/problem/1368/D,
15,AND-MEX Walk,https://codeforces.com//problemset/problem/1659/E,
18,AND-permutations,https://codeforces.com//problemset/problem/909/F,
18,ANDfinity,https://codeforces.com//problemset/problem/1689/E,
24,ASCII Automata Art,https://codeforces.com//problemset/problem/1510/A,
11,ATM and Students,https://codeforces.com//problemset/problem/1611/F,
23,Abandoning Roads,https://codeforces.com//problemset/problem/1149/D,
15,Abbreviation,https://codeforces.com//problemset/problem/1003/F,
13,Ability To Convert,https://codeforces.com//problemset/problem/758/D,
17,Abnormal Permutation Pairs (easy version),https://codeforces.com//problemset/problem/1542/E1,
20,Abnormal Permutation Pairs (hard version),https://codeforces.com//problemset/problem/1542/E2,
10,About Bacteria,https://codeforces.com//problemset/problem/198/A,
17,Abracadabra,https://codeforces.com//problemset/problem/161/C,
3,Absent Remainder,https://codeforces.com//problemset/problem/1613/B,
1,Absolute Maximization,https://codeforces.com//problemset/problem/1763/A,
7,Absolute Sorting,https://codeforces.com//problemset/problem/1772/D,
8,Acacius and String,https://codeforces.com//problemset/problem/1379/A,
17,Access Levels,https://codeforces.com//problemset/problem/1765/A,
7,Accidental Victory,https://codeforces.com//problemset/problem/1490/E,
13,Accommodation,https://codeforces.com//problemset/problem/1804/D,
6,Accordion,https://codeforces.com//problemset/problem/1101/B,
7,Accounting,https://codeforces.com//problemset/problem/30/A,
1,Accumulation of Dominoes,https://codeforces.com//problemset/problem/1725/A,
5,AccurateLee,https://codeforces.com//problemset/problem/1369/B,
12,Ace It!,https://codeforces.com//problemset/problem/656/F,
17,Acyclic Organic Compounds,https://codeforces.com//problemset/problem/601/D,
19,Adam and Tree,https://codeforces.com//problemset/problem/442/D,
1,Add Candies,https://codeforces.com//problemset/problem/1447/A,
7,Add Modulo 10,https://codeforces.com//problemset/problem/1714/E,
1,Add Odd or Subtract Even,https://codeforces.com//problemset/problem/1311/A,
9,Add One,https://codeforces.com//problemset/problem/1513/C,
1,Add Plus Minus Sign,https://codeforces.com//problemset/problem/1774/A,
11,Add Points,https://codeforces.com//problemset/problem/926/B,
3,Add and Divide,https://codeforces.com//problemset/problem/1485/A,
9,Add on a Tree,https://codeforces.com//problemset/problem/1188/A1,
18,Add on a Tree: Revolution,https://codeforces.com//problemset/problem/1188/A2,
7,Add to Neighbour and Remove,https://codeforces.com//problemset/problem/1462/D,
7,Adding Digits,https://codeforces.com//problemset/problem/260/A,
7,Adding Powers,https://codeforces.com//problemset/problem/1312/C,
14,Addition Robot,https://codeforces.com//problemset/problem/1252/K,
15,Addition on Segments,https://codeforces.com//problemset/problem/981/E,
20,Adilbek and the Watering System,https://codeforces.com//problemset/problem/1238/G,
1,Adjacent Replacements,https://codeforces.com//problemset/problem/1006/A,
26,Admissible Map,https://codeforces.com//problemset/problem/1666/A,
1,Advantage,https://codeforces.com//problemset/problem/1760/C,
9,Advertising Agency,https://codeforces.com//problemset/problem/1475/E,
11,Aerodynamic,https://codeforces.com//problemset/problem/1299/B,
4,African Crossword,https://codeforces.com//problemset/problem/90/B,
6,After Training,https://codeforces.com//problemset/problem/195/B,
1,Again Twenty Five!,https://codeforces.com//problemset/problem/630/A,
0,Again?,https://codeforces.com//problemset/problem/1331/D,
4,Ahahahahahahahaha,https://codeforces.com//problemset/problem/1407/A,
8,Air Conditioner,https://codeforces.com//problemset/problem/1304/C,
8,Air Conditioners,https://codeforces.com//problemset/problem/1547/E,
25,Air Reform,https://codeforces.com//problemset/problem/1648/E,
20,Airplane Arrangements,https://codeforces.com//problemset/problem/838/D,
4,Airport,https://codeforces.com//problemset/problem/218/B,
2,Alarm Clock,https://codeforces.com//problemset/problem/1354/A,
9,Alarm Clock,https://codeforces.com//problemset/problem/898/D,
6,Alarm Clocks Everywhere,https://codeforces.com//problemset/problem/1155/C,
9,Alena And The Heater,https://codeforces.com//problemset/problem/940/D,
2,Alena's Schedule,https://codeforces.com//problemset/problem/586/A,
25,Alesya and Discrete Math,https://codeforces.com//problemset/problem/1179/E,
16,Alex and Complicated Task,https://codeforces.com//problemset/problem/467/E,
12,Alex and Julian,https://codeforces.com//problemset/problem/1220/D,
1,Alex and a Rhombus,https://codeforces.com//problemset/problem/1180/A,
18,Alex and a TV Show,https://codeforces.com//problemset/problem/1097/F,
4,Alex and broken contest,https://codeforces.com//problemset/problem/877/A,
1,Alexey and Train,https://codeforces.com//problemset/problem/1501/A,
18,Algebra Flash,https://codeforces.com//problemset/problem/1767/E,
11,AlgoRace,https://codeforces.com//problemset/problem/187/B,
23,Algoland and Berland,https://codeforces.com//problemset/problem/1070/M,
11,Ali goes shopping,https://codeforces.com//problemset/problem/72/E,
9,Alice and Bob,https://codeforces.com//problemset/problem/346/A,
6,Alice and Hairdresser,https://codeforces.com//problemset/problem/1055/B,
19,Alice and Recoloring 1,https://codeforces.com//problemset/problem/1592/F1,
21,Alice and Recoloring 2,https://codeforces.com//problemset/problem/1592/F2,
23,Alice and the Cactus,https://codeforces.com//problemset/problem/1236/F,
7,Alice and the Cake,https://codeforces.com//problemset/problem/1654/C,
16,Alice and the Doll,https://codeforces.com//problemset/problem/1236/D,
8,Alice and the List of Presents,https://codeforces.com//problemset/problem/1236/B,
18,Alice and the Unfair Game,https://codeforces.com//problemset/problem/1236/E,
15,Alice the Fan,https://codeforces.com//problemset/problem/1089/A,
6,"Alice, Bob and Candies",https://codeforces.com//problemset/problem/1352/D,
5,"Alice, Bob and Chocolate",https://codeforces.com//problemset/problem/6/C,
17,"Alice, Bob, Oranges and Apples",https://codeforces.com//problemset/problem/585/C,
7,"Alice, Bob, Two Teams",https://codeforces.com//problemset/problem/632/B,
21,Alien DNA,https://codeforces.com//problemset/problem/217/E,
1,All Distinct,https://codeforces.com//problemset/problem/1692/B,
11,All Possible Digits,https://codeforces.com//problemset/problem/1759/F,
4,All are Same,https://codeforces.com//problemset/problem/1593/D1,
4,All the Vowels Please,https://codeforces.com//problemset/problem/1166/B,
17,Allowed Letters,https://codeforces.com//problemset/problem/1009/G,
15,Almost Acyclic Graph,https://codeforces.com//problemset/problem/915/D,
20,Almost All,https://codeforces.com//problemset/problem/1205/D,
9,Almost All Divisors,https://codeforces.com//problemset/problem/1165/D,
7,Almost All Multiples,https://codeforces.com//problemset/problem/1758/C,
8,Almost Arithmetic Progression,https://codeforces.com//problemset/problem/978/D,
8,Almost Arithmetical Progression,https://codeforces.com//problemset/problem/255/C,
15,Almost Difference,https://codeforces.com//problemset/problem/903/D,
5,Almost Equal,https://codeforces.com//problemset/problem/1205/A,
18,Almost Fault-Tolerant Database,https://codeforces.com//problemset/problem/1492/E,
9,Almost Identity Permutations,https://codeforces.com//problemset/problem/888/D,
18,Almost Increasing Array,https://codeforces.com//problemset/problem/946/G,
8,Almost Increasing Subsequence,https://codeforces.com//problemset/problem/1817/A,
17,Almost Perfect,https://codeforces.com//problemset/problem/1726/E,
15,Almost Permutation,https://codeforces.com//problemset/problem/863/F,
2,Almost Prime,https://codeforces.com//problemset/problem/26/A,
